epoch,checkpoint,mae_cm,rmse_cm,max_abs_error_cm,mape_percent
50.0,epoch_0050.pt,7.412406921386719,11.189014434814453,28.893692016601562,9.922394752502441
100.0,epoch_0100.pt,5.761135578155518,9.753982543945312,27.266159057617188,7.140620231628418
150.0,epoch_0150.pt,5.273753643035889,9.242788314819336,25.885665893554688,5.734846591949463
200.0,epoch_0200.pt,5.275801658630371,9.107250213623047,25.297256469726562,5.920840263366699
250.0,epoch_0250.pt,5.040722370147705,8.704748153686523,24.280029296875,5.731658458709717
300.0,epoch_0300.pt,5.0653510093688965,9.396486282348633,26.531051635742188,5.030149459838867
350.0,epoch_0350.pt,4.831945419311523,8.937806129455566,25.335159301757812,4.769643306732178
400.0,epoch_0400.pt,4.809142112731934,9.158266067504883,25.934356689453125,4.445808410644531
450.0,epoch_0450.pt,5.12166690826416,8.433737754821777,23.39239501953125,6.415732383728027
500.0,epoch_0500.pt,5.034176826477051,8.389728546142578,23.235641479492188,5.962063789367676
550.0,epoch_0550.pt,4.901214599609375,8.459970474243164,23.381576538085938,5.413751125335693
600.0,epoch_0600.pt,4.724229335784912,9.146928787231445,25.956680297851562,4.45036506652832
650.0,epoch_0650.pt,5.022017955780029,8.331512451171875,22.80914306640625,5.889708518981934
700.0,epoch_0700.pt,4.9374003410339355,8.577157974243164,23.620040893554688,5.298479080200195
750.0,epoch_0750.pt,4.903025150299072,8.596778869628906,23.949310302734375,5.050137519836426
800.0,epoch_0800.pt,4.757002830505371,8.590137481689453,23.839981079101562,4.907254695892334
850.0,epoch_0850.pt,4.623929023742676,7.632863998413086,20.476303100585938,5.01996374130249
900.0,epoch_0900.pt,4.898812294006348,7.8407487869262695,21.136871337890625,6.168355941772461
