Frame,Processing_Time_ms,FPS
1,20.296209026128054,49.27028484544396
2,5.775666097179055,173.140202908963
3,5.846499931067228,171.04250607892482
4,6.137666059657931,162.9283819419352
5,5.889249965548515,169.80090942817733
6,6.125667016021907,163.247528372741
7,6.742292083799839,148.31751392123275
8,6.505124969407916,153.72494836037225
9,5.796374985948205,172.52161953362895
10,5.7492919731885195,173.93446091509014
11,5.98016707226634,167.21940840710056
12,5.646875011734664,177.0890975844018
13,5.878707976080477,170.10540480473603
14,5.759708001278341,173.61991263759458
15,5.58995793107897,178.89222286275427
16,5.677165929228067,176.14422626818862
17,5.772916949354112,173.2226548161034
18,5.570375011302531,179.52112702842393
19,5.692209000699222,175.67872154328163
20,5.475874990224838,182.61921643301434
21,5.854166927747428,170.81849772001306
22,5.648542079143226,177.03683286567292
23,5.578250042162836,179.26769012531992
24,5.614541936665773,178.10891988703455
25,5.591167020611465,178.85353743030151
26,5.727292038500309,174.60258587788897
27,5.746834096498787,174.0088513446459
28,5.7212080573663116,174.78825974742435
29,6.001500063575804,166.62500864895128
30,5.715082981623709,174.9755870939061
31,5.810000002384186,172.11703951628934
32,5.764917004853487,173.4630349679101
33,5.633249995298684,177.51741904487918
34,6.083750049583614,164.37230192723686
35,5.645666969940066,177.12699054415106
36,5.705791991204023,175.26050748810812
37,5.827708053402603,171.5940453496351
38,5.636041983962059,177.42948027101352
39,5.844334024004638,171.10589434017032
40,5.637999973259866,177.36786178482447
41,5.675000022165477,176.21145305624478
42,5.984334042295814,167.10297134689407
43,5.665709031745791,176.50041581677678
44,5.480000050738454,182.48175013524784
45,5.975125008262694,167.36051523895338
46,5.841583013534546,171.18647422848719
47,5.790875060483813,172.68547318934083
48,5.5894170654937625,178.90953354930247
49,5.249707959592342,190.4867866359662
50,5.8764159912243485,170.1717511989226
51,5.3200830006971955,187.9669922196609
52,5.404541967436671,185.0295558856196
53,5.70179196074605,175.3834596008577
54,5.130874924361706,194.89853382547668
55,5.499416962265968,181.8374578362507
56,5.3240840788930655,187.82573400078812
57,5.324499914422631,187.81106509012616
