Frame,Processing_Time_ms,FPS
1,6.6546250600367785,150.27142641068244
2,0.6730830064043403,1485.7008578214964
3,0.6538750603795052,1529.344152412857
4,0.5969160702079535,1675.2773964547819
5,0.5730419652536511,1745.072892798279
6,0.5410839803516865,1848.1419452670425
7,0.5305419908836484,1884.8649441195826
8,0.5105830496177077,1958.5452371533615
9,0.5456659710034728,1832.6229839126906
10,0.4960000514984131,2016.1288229285585
11,0.6208330160006881,1610.7390783464577
12,0.5887079751119018,1698.6350487436828
13,0.9564579231664538,1045.5242993747133
14,0.5340419011190534,1872.5122465195313
15,0.6546670338138938,1527.4940517079344
16,0.5209579830989242,1919.540601050951
17,0.5342920776456594,1871.6354627724731
18,0.47570804599672556,2102.12967473517
19,0.5698750028386712,1754.7707743255673
20,0.5284999497234821,1892.1477675129631
21,0.5641250172629952,1772.656715087322
22,0.6379169644787908,1567.6021421017526
23,0.6222090451046824,1607.1768931481167
24,0.5374589236453176,1860.6073059825587
25,0.5642089527100325,1772.39300297657
26,0.5226670764386654,1913.2638061187488
27,0.6542080081999302,1528.5658192285434
28,0.5252499831840396,1903.855367948894
29,0.5080410046502948,1968.345056494683
30,0.747084035538137,1338.5375037223
31,0.7087079575285316,1411.0184447304466
32,0.6539999740198255,1529.052048509234
33,0.9915409609675407,1008.5312048270855
34,0.5115830572322011,1954.7168067102593
35,0.7647080346941948,1307.688627071766
36,0.6880840519443154,1453.3108232552481
37,0.5109159974381328,1957.268915074617
38,0.6126658990979195,1632.2109676291527
39,0.7672499632462859,1303.356204500725
40,0.5604999605566263,1784.1214458015502
41,0.52304205019027,1911.8921693508664
42,0.6708749569952488,1490.590742094256
43,0.47212489880621433,2118.0835887464054
44,0.5642910255119205,1772.135218866555
45,0.6220840150490403,1607.499912887438
46,0.4885409725829959,2046.911223664285
47,0.6401669234037399,1562.0925784216454
48,0.5467089358717203,1829.1268614541902
49,0.6458329735323787,1548.3879593983988
50,0.5105410236865282,1958.7064576695002
51,0.4587919684126973,2179.6371097335114
52,0.5637090653181076,1773.9647302561798
53,0.4925000248476863,2030.4567503509597
54,0.5324580706655979,1878.0821534922975
55,0.49516698345541954,2019.5207544366317
56,0.520167057402432,1922.4593056579147
57,0.5262090126052499,1900.3855427124306
