row_1based,dx,dy,r_px,theta_deg,measured_cm,model_cm,pct_err,robust_z
211,121.88,-177.09,215.0,-55.5,85.2,91.49,-6.9,-1.33
237,201.0,-105.0,226.8,-27.6,110.6,102.75,7.6,1.32
292,-192.0,48.0,197.9,166.0,161.4,149.99,7.6,1.31
173,-173.06,34.76,176.5,168.6,67.42,72.26,-6.7,-1.29
204,-157.96,-98.49,186.1,-148.1,85.2,91.32,-6.7,-1.29
49,-111.84,31.5,116.2,164.3,17.000999999999998,15.87,7.1,1.23
215,223.43,-8.77,223.6,-2.2,85.2,90.99,-6.4,-1.23
100,-156.52,16.36,157.4,174.0,42.02,39.3,6.9,1.19
217,214.92,73.59,227.2,18.9,110.6,103.54,6.8,1.18
99,-147.29,57.97,158.3,158.5,42.02,39.35,6.8,1.17
1,-86.0,-115.0,143.6,-126.8,31.86,29.87,6.7,1.15
300,-39.0,-222.0,225.4,-100.0,161.4,151.37,6.6,1.14
130,-17.65,179.09,180.0,95.6,54.72,58.1,-5.8,-1.12
96,-85.0,137.42,161.6,121.7,42.02,39.46,6.5,1.12
192,204.03,82.96,220.3,22.1,85.2,90.45,-5.8,-1.12
129,0.62,176.36,176.4,89.8,54.72,51.4,6.5,1.11
169,-63.85,172.46,183.9,110.3,67.42,71.43,-5.6,-1.08
276,239.0,2.0,239.0,0.5,136.0,128.1,6.2,1.06
308,236.0,-68.0,245.6,-16.1,161.4,152.04,6.2,1.06
23,-147.0,-184.0,235.5,-128.6,191.88,180.77,6.1,1.06
278,232.0,81.0,245.7,19.2,161.4,170.64,-5.4,-1.04
98,-129.18,93.88,159.7,144.0,42.02,39.67,5.9,1.02
78,-96.88,-94.08,135.0,-135.8,26.78,25.29,5.9,1.01
306,199.0,-137.0,241.6,-34.5,161.4,152.45,5.9,1.01
51,-109.75,-40.89,117.1,-159.6,17.000999999999998,17.94,-5.3,-1.01
305,173.0,-170.0,242.5,-44.5,161.4,170.27,-5.2,-1.0
71,-117.56,76.12,140.1,147.1,26.78,28.2,-5.0,-0.97
191,219.9,32.07,222.2,8.3,85.2,89.71,-5.0,-0.97
52,-98.66,-62.07,116.6,-147.8,17.000999999999998,17.9,-5.0,-0.97
282,132.0,194.0,234.6,55.8,161.4,169.87,-5.0,-0.96
252,21.0,212.0,213.0,84.3,136.0,128.9,5.5,0.95
221,111.42,183.9,215.0,58.8,110.6,104.89,5.4,0.94
77,-113.26,-74.12,135.4,-146.8,26.78,25.41,5.4,0.93
246,192.0,130.0,231.9,34.1,136.0,129.08,5.4,0.93
93,36.59,162.68,166.7,77.3,42.02,39.89,5.3,0.92
248,162.0,161.0,228.4,44.8,136.0,129.1,5.3,0.92
196,70.14,191.67,204.1,69.9,85.2,89.48,-4.8,-0.92
218,184.36,126.59,223.6,34.5,110.6,105.09,5.2,0.91
236,180.0,-136.0,225.6,-37.1,110.6,105.1,5.2,0.9
193,187.32,110.63,217.5,30.6,85.2,89.36,-4.7,-0.9
239,224.0,-53.0,230.2,-13.3,110.6,105.14,5.2,0.9
72,-124.09,64.21,139.7,152.6,26.78,28.08,-4.6,-0.9
70,-75.01,119.6,141.2,122.1,26.78,28.06,-4.5,-0.88
50,-117.79,2.99,117.8,178.5,17.000999999999998,17.81,-4.5,-0.88
20,-145.0,-181.0,231.9,-128.7,169.02,177.01,-4.5,-0.87
307,219.0,-108.0,244.2,-26.3,161.4,153.76,5.0,0.86
63,147.39,-0.1,147.4,-0.0,26.78,28.02,-4.4,-0.86
57,18.52,-116.72,118.2,-81.0,17.000999999999998,17.79,-4.4,-0.85
227,-144.51,122.87,189.7,139.6,110.6,105.4,4.9,0.85
271,141.0,-182.0,230.2,-52.2,136.0,129.72,4.8,0.84
143,-144.43,-89.76,170.0,-148.1,54.72,57.18,-4.3,-0.83
166,8.53,188.71,188.9,87.4,67.42,70.32,-4.1,-0.8
172,-160.28,74.33,176.7,155.1,67.42,70.31,-4.1,-0.79
69,-36.28,138.55,143.2,104.7,26.78,27.92,-4.1,-0.79
101,-157.97,3.39,158.0,178.8,42.02,40.2,4.5,0.78
4,-100.0,-123.0,158.5,-129.1,39.480000000000004,41.14,-4.0,-0.78
147,-26.61,-172.1,174.1,-98.8,54.72,52.35,4.5,0.78
97,-108.83,119.01,161.3,132.4,42.02,40.2,4.5,0.78
142,-160.02,-55.4,169.3,-160.9,54.72,57.02,-4.0,-0.78
205,-127.48,-139.5,189.0,-132.4,85.2,88.62,-3.9,-0.75
277,243.0,46.0,247.3,10.7,161.4,167.86,-3.8,-0.74
232,24.0,-213.0,214.3,-83.6,110.6,106.09,4.3,0.73
165,28.43,188.27,190.4,81.4,67.42,70.06,-3.8,-0.73
259,-174.0,86.0,194.1,153.7,136.0,130.51,4.2,0.72
28,-134.0,-121.0,180.5,-137.9,71.23,74.0,-3.7,-0.72
102,-156.57,-19.93,157.8,-172.7,42.02,40.34,4.2,0.72
32,140.0,127.0,189.0,42.2,57.895,55.59,4.1,0.71
220,140.42,167.82,218.8,50.1,110.6,106.23,4.1,0.71
257,-132.0,147.0,197.6,131.9,136.0,130.7,4.1,0.7
73,-134.83,34.64,139.2,165.6,26.78,27.76,-3.5,-0.68
207,-9.55,-203.06,203.3,-92.7,85.2,88.3,-3.5,-0.68
309,247.0,-36.0,249.6,-8.3,161.4,167.17,-3.5,-0.67
36,-126.0,-126.0,178.2,-135.0,66.15,68.49,-3.4,-0.66
186,171.04,-107.06,201.8,-32.0,67.42,64.94,3.8,0.66
258,-156.0,118.0,195.6,142.9,136.0,131.1,3.7,0.64
250,104.0,197.0,222.8,62.2,136.0,131.28,3.6,0.62
79,-53.72,-124.31,135.4,-113.4,26.78,25.86,3.6,0.61
224,-19.39,200.56,201.5,95.5,110.6,106.85,3.5,0.6
31,35.0,-164.0,167.7,-78.0,45.195,43.67,3.5,0.6
53,-81.88,-81.29,115.4,-135.2,17.000999999999998,17.53,-3.0,-0.59
244,210.0,105.0,234.8,26.6,136.0,131.5,3.4,0.59
2,-68.0,-79.0,104.2,-130.7,12.81,12.39,3.4,0.58
48,-80.06,86.43,117.8,132.8,17.000999999999998,16.45,3.3,0.57
286,-18.0,216.0,216.7,94.8,161.4,156.23,3.3,0.57
106,-118.77,-103.93,157.8,-138.8,42.02,40.68,3.3,0.56
177,-129.83,-122.33,178.4,-136.7,67.42,69.41,-2.9,-0.56
116,161.3,-55.07,170.4,-18.9,42.02,40.71,3.2,0.55
95,-45.79,158.12,164.6,106.2,42.02,40.72,3.2,0.54
