arc_cm,n_points,mean_radius_px,spread_before_px,spread_after_px
12.81,5,113.43196220195618,6.307927632271955,2.2860316292613554
14.08,7,112.00808356383028,9.46666719530082,2.068332205736468
16.62,5,125.07065764250402,4.704316833669904,1.7927792209802529
17.0,24,118.19454824536683,1.8469790849699217,0.7281468116814614
21.7,6,138.78232204879416,7.580704897618589,0.9541618794376471
24.24,6,142.5850147797442,7.938108103328144,0.702961823025823
26.78,25,141.21816213210866,4.280036451885997,1.1973196229073897
29.32,6,154.22472912547926,8.835511275861714,0.6847020944856566
34.4,7,165.97537707973692,2.731284958559358,0.8984841594598877
39.48,8,170.49810412597833,6.306464100195679,0.752947792306571
42.02,32,165.34047410865108,6.226942440033162,0.7658691770077504
44.56,6,177.31467144837643,7.024288041336443,1.2247193792664097
47.1,5,178.71785092303065,7.357293079210193,1.083603135026674
49.64,6,185.76649511847236,5.289230384965355,1.0045373763160599
54.72,40,179.83558804183428,8.777529045675374,1.4065389111685582
59.8,7,192.47400709031066,7.023391144630091,1.3730187685797008
64.88,5,200.54480839909394,8.44865812840683,0.21912376170457135
67.42,34,191.88104079842438,10.200404392006462,1.3964330522722548
69.96,5,199.9326492872523,8.873316684338942,2.570952412864367
80.12,6,211.71090980374314,9.669057351744486,2.2538597242971012
85.2,29,208.20509583204964,15.005248067493573,3.488095230462766
87.74,5,215.35413199075697,11.153377717428555,2.3537497396382228
92.82,7,217.26925086811113,12.870277999375556,2.201308061387397
100.44,6,227.52595064703166,15.613299314938295,2.743691221171053
102.98,5,220.56779267975284,5.024821626841147,0.440315026287714
108.06,6,231.9451974701028,15.52177085757284,1.8218838061453129
110.6,24,213.14989931366495,13.692360616093692,2.220170882060472
115.68,7,230.884723378117,15.573381935087582,2.5451411979769722
125.84,5,240.45001977407634,15.620114937038815,2.8763384410564794
130.92,5,231.21343185642633,14.434296975388564,2.430998721921284
136.0,34,217.8114246527625,17.29776582390516,1.4575224831153009
138.54,5,236.8111928807407,16.051757735545042,2.6923857910822613
146.16,5,237.14953781725777,16.730113958399592,2.134392344286526
153.78,5,241.29693810616214,16.142727792753924,2.3350834863992573
161.4,33,224.8858050791651,18.02301915191542,1.9798519430258106
171.56,5,257.02299421302934,16.382321134964588,1.619299421385463
186.8,5,262.67810464532016,13.594607016836905,1.3062634786601943
202.04,5,262.1704824149573,19.865501511630253,2.1467822082564685
