Frame,Processing_Time_ms,FPS
1,14.936499996110797,66.95008872630017
2,8.740167017094791,114.41428957182531
3,6.441792007535696,155.23630673424202
4,5.705040995962918,175.28357827886498
5,5.35670795943588,186.681821665953
6,5.966417025774717,167.60477782227326
7,5.644457996822894,177.16492895560066
8,5.658208974637091,176.73437027202382
9,6.580666056834161,151.9603017936883
10,5.59933390468359,178.5926713824916
11,5.557916942052543,179.9235235837654
12,5.6455000303685665,177.13222825626573
13,5.809791968204081,172.1232025987876
14,18.550499924458563,53.90690299842079
15,10.939250001683831,91.41394518326891
16,5.582166952081025,179.14190109043608
17,5.654291016981006,176.8568326244251
18,5.594916990958154,178.73366157461894
19,5.502582993358374,181.73283369046894
20,5.699582980014384,175.45143276385394
21,5.519666941836476,181.17035149720192
22,5.639375071041286,177.32461263927854
23,5.592167028225958,178.82155431920938
24,5.458125029690564,183.21309874000684
25,5.4239589953795075,184.36717549890534
26,5.719625041820109,174.8366357389362
27,5.405458039604127,184.99819861208945
28,5.541666992940009,180.45111719523806
29,5.602583987638354,178.4890690093033
30,5.757833016104996,173.67645035952614
31,5.292125046253204,188.96000968608905
32,5.539625068195164,180.51763209415267
33,5.79974998254329,172.42122557177592
34,5.246832966804504,190.59116353174727
35,5.41829108260572,184.5600365049211
36,5.641959025524557,177.24339993891144
37,5.619291914626956,177.95836471798356
38,5.440665991045535,183.80102760320887
39,6.227458012290299,160.5791637657667
40,8.198958006687462,121.96671811031989
41,5.925500066950917,168.76212787127176
42,5.821417085826397,171.77948002295423
43,5.517125013284385,181.2538228864045
44,5.471416981890798,182.76801115867843
45,5.522500025108457,181.07740976974662
46,5.577416042797267,179.29449629123692
47,5.401790956966579,185.1237872710199
48,5.781832966022193,172.95553259263102
49,5.517959012649953,181.22642768956678
50,5.662917043082416,176.5874358377823
51,5.586208077147603,179.01230784632966
52,5.76500000897795,173.4605374575334
53,5.85100008174777,170.91095300434296
54,5.843374994583428,171.133976670496
55,5.83599996753037,171.35024084367356
56,5.759624997153878,173.62241473952741
57,5.7189579820260406,174.85702870048584
58,5.558707984164357,179.89791923749172
59,5.679375026375055,176.07571173870247
60,5.529958987608552,180.8331675227221
61,5.536500015296042,180.61952447164023
62,5.335499998182058,187.4238591211181
63,5.485540954396129,182.29742669200147
64,5.3475829772651196,187.00037086875156
65,5.685457959771156,175.8873264169296
66,5.387707962654531,185.6076845537297
67,5.7530420599505305,173.82108275575493
68,5.6072500301525,178.34054030453197
69,5.285624996758997,189.19238512251115
70,5.622333032079041,177.86210711716188
71,5.583708989433944,179.09242797078082
72,5.583582911640406,179.09647189356576
73,5.750833894126117,173.8878253850101
74,5.571666988544166,179.47949905406898
75,5.329584004357457,187.63190507596877
76,5.826542037539184,171.62838499357088
77,5.61283400747925,178.16311664793105
78,5.515625001862645,181.3031160860821
79,5.747333052568138,173.99374472533137
80,5.448583047837019,183.5339557496477
81,5.3986250422894955,185.2323493790766
82,5.709624965675175,175.14285194066997
83,5.37712499499321,185.97298759674132
84,5.271833972074091,189.68730906496495
85,5.584791069850326,179.05772794232755
86,5.530874943360686,180.80322014881375
87,5.638875067234039,177.34033616221194
88,5.628249957226217,177.6751223914782
89,5.466166068799794,182.94358192076848
90,5.384125048294663,185.73119885407087
91,5.52570796571672,180.97228557939067
92,5.4807920241728425,182.45538155608438
93,5.2983330097049475,188.73860857146988
94,5.6541250087320805,176.86202523920616
95,5.5310409516096115,180.7977935345038
96,5.574457929469645,179.38963979142278
97,5.667999968864024,176.42907648082067
98,8.181458921171725,122.2275891909976
99,5.559458048082888,179.87364799790834
100,5.6585840648040175,176.72265509315793
101,5.589000065810978,178.92288213006086
102,5.574833950959146,179.37753999434383
103,5.581959034316242,179.14857379860624
104,5.683332914486527,175.95309214616844
105,5.714249913580716,175.00109640345968
106,5.556541960686445,179.96804614725914
107,5.634792032651603,177.46883899270068
108,5.511209019459784,181.44838935867855
109,5.7113750372081995,175.08918491348348
110,5.917708040215075,168.98434211425808
111,5.60737494379282,178.33656747119562
112,5.499499966390431,181.83471335783005
113,5.693207960575819,175.647896041173
114,5.607874947600067,178.32066680230767
115,18.94895895384252,52.77334773038903
116,7.925917045213282,126.1683656661449
117,5.432875012047589,184.06460626877396
118,5.330874933861196,187.5864679638417
119,5.6436249287799,177.19108066527568
120,5.465958034619689,182.9505447473817
121,5.337208043783903,187.3638786040338
122,5.716583924368024,174.929645611833
123,5.601750104688108,178.51563909698496
124,5.5804160656407475,179.1981078538414
125,5.3804159397259355,185.85923675836435
126,5.834958050400019,171.38083793617753
127,5.436041974462569,183.95737279031303
128,5.692875012755394,175.6581688091537
129,5.312665947712958,188.2294143546685
130,5.62441605143249,177.79623535234535
131,5.405790987424552,184.98680439667237
132,5.799541948363185,172.42741045820554
133,5.431249970570207,184.11967878823552
134,5.6665000738576055,176.4757763991744
135,5.634083994664252,177.4911415852245
136,5.457957973703742,183.21870648655897
137,5.563250044360757,179.75104336963244
138,5.630083964206278,177.6172444953898
139,5.363875068724155,186.43238091633233
140,5.688291974365711,175.7996960258897
141,5.55224996060133,180.107165040476
142,5.54458296392113,180.3562155182903
143,5.555959069170058,179.9869271084063
144,5.738292005844414,174.26788301841495
145,5.338749964721501,187.30976475916785
146,5.5906669003888965,178.8695370011113
147,5.610375083051622,178.24120227200126
148,5.509332986548543,181.51017599436744
149,5.357458023354411,186.65568552114948
150,5.4889589082449675,182.18391077730598
151,5.5067919893190265,181.5939301756086
152,5.899791955016553,169.49750222119388
153,5.761333974078298,173.5709133508409
154,5.730499979108572,174.50484314556414
155,5.890917032957077,169.75285756113047
156,5.560874938964844,179.82781684102213
157,6.146166939288378,162.70303261820987
158,5.567000014707446,179.62996180314389
159,5.6708340998739,176.34090195342455
160,5.6052920408546925,178.4028365893172
161,5.691249971278012,175.70832506860398
162,5.484708002768457,182.32511183735593
163,5.973665975034237,167.40139207302576
164,5.622416967526078,177.85945186488195
165,5.652375053614378,176.91678109019958
166,5.617374903522432,178.01909560512684
167,5.629542050883174,177.63434236060428
168,5.568374996073544,179.58560634029408
169,5.700042005628347,175.4373036220747
170,5.62308297958225,177.83838574516145
171,5.6920829229056835,175.68261277007574
172,5.6053330190479755,178.40153236245055
173,5.645708064548671,177.1257012524862
174,5.526874912902713,180.93407499877728
175,5.587249994277954,178.9789254148509
176,5.592457950115204,178.81225195075453
177,5.465957918204367,182.9505486439076
178,5.529833026230335,180.83728663353438
179,5.406958982348442,184.94684410675205
180,5.536750075407326,180.61136702588698
181,5.498750018887222,181.85951290114645
182,5.331750027835369,187.55567961350746
183,5.571709014475346,179.4781452875575
184,5.457374965772033,183.2382796256211
185,5.5179999908432364,181.22508185201798
186,5.389416008256376,185.54886066839873
187,5.491041112691164,182.11482658338704
188,5.467665963806212,182.89339667412108
189,5.650915903970599,176.9624636065373
190,5.681833019480109,175.99954038978439
191,5.41037495713681,184.8300733169894
192,5.571417044848204,179.4875508241989
193,5.645375000312924,177.1361512644545
194,5.2625000244006515,190.02375208803738
195,5.63841697294265,177.3547442125599
196,5.723541951738298,174.71698616558402
197,5.510000046342611,181.48820174035623
198,5.531292059458792,180.7895857334
199,5.572750000283122,179.44461889537396
200,5.4521249840036035,183.4147241550725
201,5.5952079128474,178.7243683481103
202,5.715333973057568,174.96790296316206
203,5.483750021085143,182.35696305538679
204,5.595915950834751,178.701754777219
205,5.375874927267432,186.01623243275526
206,5.604833015240729,178.41744745664823
207,5.433207959868014,184.05332676135822
208,5.859249969944358,170.67030850870088
209,5.433834041468799,184.03212029819258
210,5.805250024423003,172.25786930673883
211,5.738999927416444,174.24638659129158
212,5.479542072862387,182.49700188498105
213,5.713582970201969,175.02152418461353
214,5.698916036635637,175.47196582147774
215,5.73020800948143,174.5137346402365
