epoch,checkpoint,mae_cm,rmse_cm,max_abs_error_cm,mape_percent
50.0,epoch_0050.pt,51.500885009765625,55.50794219970703,90.59632873535156,112.45301818847656
100.0,epoch_0100.pt,50.164100646972656,54.41157913208008,89.93277740478516,106.5384750366211
150.0,epoch_0150.pt,47.72850799560547,52.665306091308594,88.515380859375,96.58792877197266
200.0,epoch_0200.pt,44.352691650390625,50.40635299682617,87.88528442382812,83.51490020751953
250.0,epoch_0250.pt,52.5731201171875,56.34920883178711,89.86732482910156,113.56636047363281
300.0,epoch_0300.pt,46.23060989379883,51.32152557373047,86.00736999511719,92.05328369140625
350.0,epoch_0350.pt,46.79288864135742,51.75304412841797,86.77352905273438,93.50505828857422
400.0,epoch_0400.pt,49.963294982910156,54.297462463378906,88.26333618164062,104.99154663085938
450.0,epoch_0450.pt,48.03471755981445,52.901065826416016,88.21160888671875,97.55193328857422
500.0,epoch_0500.pt,48.66807174682617,53.12079620361328,87.69391632080078,101.06902313232422
550.0,epoch_0550.pt,48.848388671875,53.55012893676758,89.02593994140625,100.15538024902344
600.0,epoch_0600.pt,46.55152130126953,51.842105865478516,87.48895263671875,92.30955505371094
650.0,epoch_0650.pt,45.33826446533203,51.126930236816406,88.28682708740234,86.76311492919922
700.0,epoch_0700.pt,45.305824279785156,50.78362274169922,87.58343505859375,88.12720489501953
750.0,epoch_0750.pt,48.57815933227539,53.069068908691406,88.27503967285156,100.61865997314453
800.0,epoch_0800.pt,48.1396598815918,52.99931716918945,88.4367904663086,97.41486358642578
850.0,epoch_0850.pt,44.493446350097656,50.12385940551758,85.87228393554688,85.42461395263672
900.0,epoch_0900.pt,48.63932800292969,53.205596923828125,88.17610168457031,100.21126556396484
950.0,epoch_0950.pt,48.74075698852539,53.46213150024414,88.93024444580078,100.61592102050781
1000.0,epoch_1000.pt,45.107887268066406,50.71350860595703,87.84199523925781,86.79483795166016
1050.0,epoch_1050.pt,48.97632598876953,53.68666076660156,89.74484252929688,100.67365264892578
1100.0,epoch_1100.pt,45.331687927246094,50.79281997680664,87.50106811523438,88.14501953125
1150.0,epoch_1150.pt,47.177635192871094,52.189117431640625,88.16170501708984,94.44967651367188
1200.0,epoch_1200.pt,48.357826232910156,53.09467697143555,89.19486999511719,99.16868591308594
1250.0,epoch_1250.pt,47.55820083618164,52.664825439453125,89.23956298828125,95.17546081542969
1300.0,epoch_1300.pt,45.447853088378906,51.007362365722656,87.81974792480469,88.20184326171875
1350.0,epoch_1350.pt,47.17209243774414,52.3974609375,89.71432495117188,93.73303985595703
1400.0,epoch_1400.pt,48.4603271484375,53.304046630859375,89.46066284179688,98.53204345703125
1450.0,epoch_1450.pt,47.492279052734375,52.34551239013672,88.7187271118164,95.67753601074219
1500.0,epoch_1500.pt,46.835723876953125,51.99001693725586,88.92433166503906,92.75584411621094
1550.0,epoch_1550.pt,46.48944091796875,51.86400604248047,89.13455200195312,91.01605224609375
1600.0,epoch_1600.pt,46.219146728515625,51.26347351074219,86.98210144042969,91.76171875
1650.0,epoch_1650.pt,45.257530212402344,50.70121765136719,87.25038146972656,87.4609603881836
1700.0,epoch_1700.pt,45.2869987487793,50.7431526184082,86.99632263183594,88.15043640136719
1750.0,epoch_1750.pt,45.166908264160156,50.830020904541016,88.23361206054688,85.99459075927734
1800.0,epoch_1800.pt,46.73075866699219,52.14668655395508,88.71439361572266,91.10416412353516
1850.0,epoch_1850.pt,46.727386474609375,51.803993225097656,87.07122039794922,92.34093475341797
1900.0,epoch_1900.pt,47.69904708862305,52.715476989746094,88.13768005371094,95.1758041381836
1950.0,epoch_1950.pt,46.986793518066406,52.29927062988281,88.84740447998047,92.45177459716797
2000.0,epoch_2000.pt,46.20702362060547,51.8097038269043,88.23599243164062,89.1012191772461
