epoch,mse_cm2,mae_cm,rmse_cm,max_abs_error_cm,mape_percent
1.0,3478.531982421875,50.952980041503906,58.97908020019531,107.09652709960938,131.77149963378906
2.0,3160.47412109375,48.61595153808594,56.21809387207031,102.9366455078125,126.7398681640625
3.0,2865.875732421875,46.32149124145508,53.53387451171875,97.60426330566406,121.93003845214844
4.0,2549.252197265625,43.85719299316406,50.49011993408203,90.48823547363281,116.11559295654297
5.0,2196.92529296875,40.99983215332031,46.871368408203125,83.59095764160156,108.49227905273438
6.0,1802.7794189453125,37.38166046142578,42.45914840698242,77.06546020507812,98.24068450927734
7.0,1413.8687744140625,33.64849853515625,37.60144805908203,67.66532897949219,86.68000030517578
8.0,990.9326171875,28.471235275268555,31.479082107543945,61.295562744140625,70.7663803100586
9.0,615.5558471679688,22.41942024230957,24.81039810180664,57.26704406738281,52.2486457824707
10.0,352.4747619628906,16.735477447509766,18.774311065673828,49.737762451171875,34.25486755371094
11.0,197.0436553955078,11.409299850463867,14.037223815917969,47.045623779296875,16.57508087158203
12.0,149.53515625,9.356987953186035,12.228456497192383,43.43833923339844,10.834518432617188
13.0,147.43826293945312,9.954719543457031,12.142416000366211,41.087554931640625,15.210461616516113
14.0,139.00721740722656,9.554814338684082,11.790132522583008,37.43016052246094,13.911385536193848
15.0,125.38130950927734,8.673519134521484,11.197379112243652,37.12432861328125,10.920402526855469
16.0,114.09093475341797,7.968055248260498,10.68133544921875,37.203399658203125,8.949899673461914
17.0,110.25858306884766,7.757282257080078,10.500409126281738,34.76679992675781,8.113859176635742
18.0,108.77251434326172,7.743506908416748,10.42940616607666,31.8155517578125,8.051982879638672
19.0,96.5853500366211,7.245758056640625,9.827784538269043,35.50762939453125,7.784486770629883
20.0,93.40341186523438,7.135327339172363,9.664544105529785,34.62428283691406,7.612029552459717
21.0,93.27567291259766,7.2528557777404785,9.657933235168457,30.37677001953125,7.757511138916016
22.0,84.60435485839844,6.823157787322998,9.198062896728516,33.29803466796875,7.463263511657715
23.0,84.49949645996094,6.955494403839111,9.192360877990723,30.175933837890625,7.589582443237305
24.0,79.7218017578125,6.735156059265137,8.928706169128418,29.65771484375,7.451925277709961
25.0,75.6130142211914,6.516448974609375,8.695574760437012,30.464599609375,7.336991310119629
26.0,73.73320007324219,6.571782112121582,8.586803436279297,29.020477294921875,7.59812593460083
27.0,70.71432495117188,6.437697410583496,8.409180641174316,29.175323486328125,7.42406702041626
28.0,68.43677520751953,6.380245685577393,8.272652626037598,30.020782470703125,7.494739532470703
29.0,65.19270324707031,6.108182907104492,8.074199676513672,29.8228759765625,7.250624656677246
30.0,64.35391998291016,6.235167503356934,8.022089958190918,27.882659912109375,7.663227081298828
31.0,64.35929107666016,6.2619123458862305,8.022424697875977,25.5107421875,7.64820671081543
32.0,59.5772590637207,5.847090244293213,7.718630790710449,28.546905517578125,7.104291915893555
33.0,58.62639617919922,5.9990949630737305,7.656787395477295,28.239944458007812,7.567509174346924
34.0,56.146968841552734,5.826663494110107,7.493128299713135,27.268905639648438,7.268152236938477
35.0,54.971885681152344,5.7619524002075195,7.414302825927734,25.151031494140625,7.233048915863037
36.0,52.76033401489258,5.602729797363281,7.2636308670043945,25.5458984375,7.061928749084473
37.0,52.772613525390625,5.684408187866211,7.264476299285889,22.986968994140625,7.25468635559082
38.0,50.23463439941406,5.554265022277832,7.087639331817627,23.8905029296875,7.1670613288879395
39.0,48.460147857666016,5.454722881317139,6.961332321166992,25.346435546875,7.01507568359375
40.0,47.954986572265625,5.385498046875,6.924953937530518,23.165969848632812,6.786181926727295
41.0,45.708106994628906,5.216495990753174,6.760776996612549,24.570480346679688,6.758938789367676
42.0,46.17197799682617,5.367575168609619,6.794996738433838,22.72235107421875,7.0085129737854
43.0,43.34975051879883,5.0727434158325195,6.584052562713623,23.7979736328125,6.566236972808838
44.0,42.826988220214844,5.095242500305176,6.544233322143555,22.091796875,6.687387943267822
45.0,40.91111755371094,4.990798473358154,6.396180152893066,23.859771728515625,6.529873847961426
