x,y,measured_cm
71.8,153.7,42.02
36.59,162.68,42.02
5.45,166.66,42.02
-45.79,158.12,42.02
-85,137.42,42.02
-108.83,119.01,42.02
-129.18,93.88,42.02
-147.29,57.97,42.02
-156.52,16.36,42.02
-157.97,3.39,42.02
-156.57,-19.93,42.02
-151.17,-46.03,42.02
-148.15,-54.75,42.02
-137.11,-78.52,42.02
-118.77,-103.93,42.02
-98.66,-124.67,42.02
-75.29,-141.49,42.02
-47.7,-154.72,42.02
-23.26,-161.21,42.02
20.53,-164.71,42.02
74.18,-151.12,42.02
100.38,-136.62,42.02
124.85,-117.66,42.02
146.42,-92.55,42.02
161.3,-55.07,42.02
172.07,-25.59,42.02
174.89,0.6,42.02
192.82,-7.52,54.72
189.52,36.15,54.72
179.7,67.48,54.72
162.8,96.88,54.72
154.95,108.18,54.72
131.05,131.73,54.72
113.51,146.89,54.72
82.86,163.84,54.72
46.04,176.72,54.72
17.06,178.17,54.72
0.62,176.36,54.72
-17.65,179.09,54.72
-53.43,167.43,54.72
-84.47,152.44,54.72
-112.05,130.63,54.72
-135.5,105.09,54.72
-152.85,72.03,54.72
-138.16,99.91,54.72
-153.53,70.21,54.72
-164.46,35.17,54.72
-167.07,15.43,54.72
-168.07,4.85,54.72
-168.04,-11.96,54.72
-160.02,-55.4,54.72
-144.43,-89.76,54.72
-122.69,-117.91,54.72
-90.44,-145.14,54.72
-62.46,-160.55,54.72
-26.61,-172.1,54.72
12.22,-179.13,54.72
48.54,-175.85,54.72
77.31,-169.67,54.72
77.17,-169.24,54.72
108.58,-152.46,54.72
138.15,-129.51,54.72
160.04,-101.59,54.72
176.71,-69.15,54.72
189.09,-25.88,54.72
191.68,16.48,54.72
205.87,16.79,67.42
203.01,36.15,67.42
179.52,95.51,67.42
146.89,134.45,67.42
173.04,104.3,67.42
119.12,155.85,67.42
77.5,177.7,67.42
28.43,188.27,67.42
8.53,188.71,67.42
-8.85,189.25,67.42
-44.04,183.04,67.42
-63.85,172.46,67.42
-103.66,151.48,67.42
-131.98,123.01,67.42
-160.28,74.33,67.42
-173.06,34.76,67.42
-177.06,-1.51,67.42
-172.95,-41.34,67.42
-161.62,-74.08,67.42
-129.83,-122.33,67.42
-96.72,-152.55,67.42
-43.79,-181.43,67.42
-78.24,-165.24,67.42
-30.18,-185.66,67.42
12.52,-192.71,67.42
114.92,-164.68,67.42
69.04,-184.23,67.42
151.97,-133.12,67.42
171.04,-107.06,67.42
186.86,-81.23,67.42
205.18,-25.15,67.42
191.94,-70.05,67.42
204.49,-8.76,67.42
219.9,32.07,85.2
204.03,82.96,85.2
187.32,110.63,85.2
158.57,141.71,85.2
126.32,169.5,85.2
70.14,191.67,85.2
16.39,201.39,85.2
-31.57,192.3,85.2
-82.2,175.28,85.2
-134.97,132.8,85.2
-162.46,92.52,85.2
-176.14,58.36,85.2
-182.31,-29.19,85.2
-157.96,-98.49,85.2
-127.48,-139.5,85.2
-64.27,-185.45,85.2
-9.55,-203.06,85.2
21.88,-209.07,85.2
104.92,-187.88,85.2
121.88,-177.09,85.2
163.59,-149,85.2
205.08,-95.95,85.2
219.05,-47.19,85.2
223.43,-8.77,85.2
214.92,73.59,110.6
184.36,126.59,110.6
169.4,145.83,110.6
140.42,167.82,110.6
111.42,183.9,110.6
51.17,204.88,110.6
4.84,200.52,110.6
-19.39,200.56,110.6
-74,179.5,110.6
-115.67,154.48,110.6
-144.51,122.87,110.6
-130,-142,110.6
-102,-169,110.6
-72,-187,110.6
24,-213,110.6
87,-202,110.6
132,-179,110.6
157,-170,110.6
180,-136,110.6
201,-105,110.6
213,-78,110.6
224,-53,110.6
227,9,110.6
239,32,136.0
230,63,136.0
221,87,136.0
210,105,136.0
214,99,136.0
192,130,136.0
174,153,136.0
162,161,136.0
127,183,136.0
104,197,136.0
58,207,136.0
21,212,136.0
-18,209,136.0
-55,199,136.0
-102,173,136.0
-132,147,136.0
-156,118,136.0
-174,86,136.0
-189,34,136.0
-192,10,136.0
-191,-23,136.0
-182,-67,136.0
-169,-100,136.0
-17,-217,136.0
-13,-215,136.0
70,-213,136.0
141,-182,136.0
180,-153,136.0
206,-120,136.0
227,-70,136.0
234,-40,136.0
239,2,136.0
243,46,161.4
232,81,161.4
218,106,161.4
