x,y,measured_cm
-153,11,29.32
-148,12,26.78
-141,13,24.240000000000002
-134,13,21.7
-129,14,19.16
-126,15,20.43
-123,15,16.62
-117,15,15.35
-111,15,14.08
-108,17,12.81
-82,86,12.81
-88,88,14.08
-96,88,16.62
-103,91,19.16
-105,96,21.7
-110,99,24.240000000000002
-113,105,26.78
-117,106,29.32
-118,111,31.86
-121,112,34.4
-123,119,39.480000000000004
-128,123,44.56
-132,128,49.64
-134,129,54.72
-137,131,59.8
-140,136,67.42
-144,139,75.04
-148,141,82.66
-149,145,87.74
-150,147,92.82000000000001
-151,147,97.9
-153,149,102.98
-154,150,108.06
-155,152,113.14
-157,153,120.76
-157,153,128.38
-159,155,136.0
-160,157,143.62
-161,158,151.24
-162,160,156.32
-163,160,161.4
-163,161,166.48
-164,161,174.1
-166,161,181.72
-166,161,186.8
-166,162,191.88
-166,163,199.5
-166,163,204.58
-4,252,212.2
-3,255,204.58
-1,254,199.5
-1,253,191.88
-2,251,186.8
-3,251,179.18
-4,249,171.56
-4,246,166.48
-5,245,158.86
-4,244,153.78
-4,242,146.16
-4,238,138.54
-5,237,133.46
-4,235,125.84
-5,234,120.76
-4,231,115.68
-5,228,110.6
-6,224,102.98
-7,224,99.17
-4,223,95.36
-6,218,87.74
-6,214,80.12
-6,210,75.04
-8,205,69.96000000000001
-9,203,64.88
-10,199,59.8
-11,195,57.26
-10,190,52.18
-10,188,49.64
-11,185,47.1
-10,182,44.56
-12,178,42.02
-13,176,39.480000000000004
-17,172,36.94
-14,168,34.4
-15,160,29.32
-16,151,24.240000000000002
-14,146,21.7
-15,141,20.43
-15,141,19.16
-15,130,17.89
-15,125,15.35
-13,121,12.81
71,88,12.81
79,88,14.08
88,93,16.62
101,99,21.7
109,108,26.78
120,117,34.4
127,125,39.480000000000004
136,126,44.56
145,130,49.64
152,136,57.26
161,141,64.88
168,145,72.5
174,151,80.12
178,154,87.74
182,156,92.82000000000001
186,160,100.44
191,161,108.06
194,165,115.68
196,166,120.76
199,167,125.84
201,168,133.46
204,169,138.54
205,172,146.16
207,172,153.78
209,173,161.4
210,173,169.02
212,173,176.64000000000001
214,175,184.26
215,176,186.8
214,175,191.88
214,176,194.42000000000002
215,178,196.96
217,178,202.04
287,3,202.04
287,4,196.96
287,4,189.34
282,3,184.26
282,3,179.18
280,3,171.56
279,2,163.94
163,22,34.4
203,16,59.8
234,16,85.2
253,20,110.6
281,19,202.04
264,17,136.0
273,16,161.4
280,17,186.8
173,-216,204.58
171,-217,199.5
172,-216,196.96
151,-187,100.44
153,-192,108.06
158,-200,125.84
160,-205,136.0
162,-206,143.62
164,-208,151.24
165,-209,158.86
167,-212,166.48
169,-213,174.1
167,-213,171.56
167,-216,184.26
158,-203,130.92000000000002
155,-200,123.3
