x,y,measured_cm
-118,-145,69.96000000000001
-120,-149,77.58
-123,-155,85.2
-127,-159,92.82000000000001
-129,-162,100.44
-129,-166,108.06
-133,-169,115.68
-135,-171,123.3
-137,-173,130.92000000000002
-139,-175,138.54
-142,-176,146.16
-142,-178,153.78
-144,-179,161.4
-145,-181,169.02
-146,-183,176.64000000000001
-147,-184,184.26
-147,-184,191.88
-148,-185,199.5
-149,-186,207.12
-99,135,50.910000000000004
182,130,97.9
-134,-121,71.23
123,80,26.78
-152,110,99.805
35,-164,45.195
140,127,57.895
-6,184,68.69
-80,156,63.61
-146,93,59.8
-126,-126,66.15
-161,1,44.56
-98,142,58.53
117.56,-14.78,17.000999999999998
118.47,12.67,17.000999999999998
113.8,38.49,17.000999999999998
91.51,78.31,17.000999999999998
72.91,96.76,17.000999999999998
45.1,111.88,17.000999999999998
25.97,117.24,17.000999999999998
-14.01,118.57,17.000999999999998
-43.09,111.06,17.000999999999998
-80.06,86.43,17.000999999999998
-111.84,31.5,17.000999999999998
-117.79,2.99,17.000999999999998
-109.75,-40.89,17.000999999999998
-98.66,-62.07,17.000999999999998
-81.88,-81.29,17.000999999999998
-57.46,-99.93,17.000999999999998
-38.41,-108.59,17.000999999999998
-17.51,-113.47,17.000999999999998
18.52,-116.72,17.000999999999998
60.81,-100.4,17.000999999999998
89.69,-76.27,17.000999999999998
105.15,-56.88,17.000999999999998
115.62,-29.38,17.000999999999998
117.81,-21.63,17.000999999999998
147.39,-0.1,26.78
140.72,43.4,26.78
120.56,84.85,26.78
100.54,107.2,26.78
68.87,128.69,26.78
16.76,142.53,26.78
-36.28,138.55,26.78
-75.01,119.6,26.78
-117.56,76.12,26.78
-124.09,64.21,26.78
-134.83,34.64,26.78
-137.96,9.83,26.78
-136.89,-15.2,26.78
-126.68,-50.77,26.78
-113.26,-74.12,26.78
-96.88,-94.08,26.78
-53.72,-124.31,26.78
3.06,-136.77,26.78
63.47,-120.62,26.78
105.24,-89.91,26.78
125.52,-53.36,26.78
137.55,-41.84,26.78
143.78,-13.86,26.78
145.2,5.45,26.78
174.72,9.72,42.02
168.27,44.72,42.02
154.2,79.47,42.02
135.74,105.67,42.02
96.46,140.88,42.02
71.8,153.7,42.02
36.59,162.68,42.02
5.45,166.66,42.02
-45.79,158.12,42.02
-85,137.42,42.02
-108.83,119.01,42.02
-129.18,93.88,42.02
-147.29,57.97,42.02
-156.52,16.36,42.02
-157.97,3.39,42.02
-156.57,-19.93,42.02
-151.17,-46.03,42.02
-148.15,-54.75,42.02
-137.11,-78.52,42.02
-118.77,-103.93,42.02
-98.66,-124.67,42.02
-75.29,-141.49,42.02
-47.7,-154.72,42.02
-23.26,-161.21,42.02
20.53,-164.71,42.02
74.18,-151.12,42.02
100.38,-136.62,42.02
124.85,-117.66,42.02
146.42,-92.55,42.02
161.3,-55.07,42.02
172.07,-25.59,42.02
174.89,0.6,42.02
192.82,-7.52,54.72
189.52,36.15,54.72
179.7,67.48,54.72
162.8,96.88,54.72
154.95,108.18,54.72
131.05,131.73,54.72
113.51,146.89,54.72
82.86,163.84,54.72
46.04,176.72,54.72
17.06,178.17,54.72
0.62,176.36,54.72
-17.65,179.09,54.72
-53.43,167.43,54.72
-84.47,152.44,54.72
-112.05,130.63,54.72
-135.5,105.09,54.72
-152.85,72.03,54.72
-138.16,99.91,54.72
-153.53,70.21,54.72
-164.46,35.17,54.72
-167.07,15.43,54.72
-168.07,4.85,54.72
-168.04,-11.96,54.72
-160.02,-55.4,54.72
-144.43,-89.76,54.72
-122.69,-117.91,54.72
-90.44,-145.14,54.72
-62.46,-160.55,54.72
-26.61,-172.1,54.72
12.22,-179.13,54.72
48.54,-175.85,54.72
77.31,-169.67,54.72
77.17,-169.24,54.72
108.58,-152.46,54.72
138.15,-129.51,54.72
160.04,-101.59,54.72
176.71,-69.15,54.72
189.09,-25.88,54.72
191.68,16.48,54.72
205.87,16.79,67.42
203.01,36.15,67.42
179.52,95.51,67.42
146.89,134.45,67.42
173.04,104.3,67.42
119.12,155.85,67.42
77.5,177.7,67.42
28.43,188.27,67.42
8.53,188.71,67.42
-8.85,189.25,67.42
-44.04,183.04,67.42
-63.85,172.46,67.42
-103.66,151.48,67.42
-131.98,123.01,67.42
-160.28,74.33,67.42
-173.06,34.76,67.42
-177.06,-1.51,67.42
-172.95,-41.34,67.42
-161.62,-74.08,67.42
-129.83,-122.33,67.42
-96.72,-152.55,67.42
-43.79,-181.43,67.42
-78.24,-165.24,67.42
-30.18,-185.66,67.42
12.52,-192.71,67.42
114.92,-164.68,67.42
69.04,-184.23,67.42
151.97,-133.12,67.42
171.04,-107.06,67.42
186.86,-81.23,67.42
205.18,-25.15,67.42
191.94,-70.05,67.42
204.49,-8.76,67.42
219.9,32.07,85.2
204.03,82.96,85.2
187.32,110.63,85.2
158.57,141.71,85.2
126.32,169.5,85.2
70.14,191.67,85.2
16.39,201.39,85.2
-31.57,192.3,85.2
-82.2,175.28,85.2
-134.97,132.8,85.2
-162.46,92.52,85.2
-176.14,58.36,85.2
-182.31,-29.19,85.2
-157.96,-98.49,85.2
-127.48,-139.5,85.2
-64.27,-185.45,85.2
-9.55,-203.06,85.2
21.88,-209.07,85.2
56.83,-205.7,85.2
104.92,-187.88,85.2
