mode,run_dir,best_checkpoint_by_rmse,best_checkpoint_mae_cm,best_checkpoint_rmse_cm,best_checkpoint_max_abs_error_cm,final_epoch,final_mae_cm,final_rmse_cm,final_max_abs_error_cm
xy_radius,training/run_cleaned_center_330_318_xy_radius_2000,epoch_1800.pt,2.338274,3.997796,28.617714,2000,2.539301,4.160365,26.776817
polar,training/run_cleaned_center_330_318_polar_2000,epoch_1800.pt,2.208792,3.554697,21.362568,2000,2.358556,3.731654,21.566525
