x,y,measured_cm
-144,139,75.04
-148,141,82.66
-149,145,87.74
-150,147,92.82000000000001
-151,147,97.9
-153,149,102.98
-154,150,108.06
-155,152,113.14
-160,157,143.62
-161,158,151.24
-162,160,156.32
-163,161,166.48
-164,161,174.1
-166,161,181.72
-3,255,204.58
-1,254,199.5
-1,253,191.88
-2,251,186.8
-3,251,179.18
-4,249,171.56
-4,246,166.48
-5,245,158.86
-4,244,153.78
-4,242,146.16
-4,238,138.54
-5,237,133.46
-4,235,125.84
-5,234,120.76
-4,231,115.68
-6,224,102.98
-7,224,99.17
-4,223,95.36
-6,218,87.74
-6,214,80.12
-6,210,75.04
-8,205,69.96000000000001
-9,203,64.88
-10,199,59.8
-11,195,57.26
-10,190,52.18
-10,188,49.64
-11,185,47.1
-10,182,44.56
-13,176,39.480000000000004
-17,172,36.94
-14,168,34.4
-15,160,29.32
-16,151,24.240000000000002
-14,146,21.7
-15,141,19.795
-15,130,17.89
-15,125,15.35
-13,121,12.81
71,88,12.81
79,88,14.08
88,93,16.62
101,99,21.7
120,117,34.4
127,125,39.480000000000004
136,126,44.56
145,130,49.64
152,136,57.26
161,141,64.88
168,145,72.5
174,151,80.12
178,154,87.74
182,156,92.82000000000001
186,160,100.44
191,161,108.06
194,165,115.68
196,166,120.76
199,167,125.84
204,169,138.54
205,172,146.16
207,172,153.78
210,173,169.02
212,173,176.64000000000001
215,176,186.8
214,176,194.42000000000002
215,178,196.96
217,178,202.04
287,3,202.04
280,3,171.56
279,2,163.94
163,22,34.4
203,16,59.8
234,16,85.2
280,17,186.8
173,-216,204.58
171,-217,199.5
172,-216,196.96
151,-187,100.44
153,-192,108.06
158,-200,125.84
162,-206,143.62
164,-208,151.24
165,-209,158.86
167,-212,166.48
167,-213,171.56
167,-216,184.26
158,-203,130.92000000000002
155,-200,123.3
154,-199,115.68
150,-193,108.06
145,-192,100.44
140,-185,92.82000000000001
135,-182,85.2
133,-176,77.58
127,-168,69.96000000000001
118,-160,62.34
114,-151,54.72
103,-145,47.1
95,-135,39.480000000000004
82,-124,31.86
80,-113,26.78
75,-109,24.240000000000002
70,-102,20.43
39,-91,14.08
14,-100,14.08
15,-123,21.7
24,-133,29.32
21,-154,36.94
16,-164,44.56
16,-175,52.18
21,-183,59.8
23,-194,67.42
26,-200,73.77
23,-207,80.12
23,-211,87.74
24,-218,95.36
23,-224,102.98
26,-232,118.22
26,-235,125.84
27,-239,133.46
27,-242,141.08
27,-244,148.7
29,-245,156.32
29,-248,163.94
27,-250,171.56
26,-251,179.18
27,-253,186.8
27,-256,194.42000000000002
28,-257,202.04
29,-257,207.12
-69,-94,16.62
-79,-106,24.240000000000002
-86,-115,31.86
-68,-79,12.81
-67,-83,14.08
-100,-123,39.480000000000004
-103,-129,47.1
-111,-141,62.34
-118,-145,69.96000000000001
-120,-149,77.58
-123,-155,85.2
-127,-159,92.82000000000001
-129,-162,100.44
-129,-166,108.06
-133,-169,115.68
-135,-171,123.3
-137,-173,130.92000000000002
-139,-175,138.54
-142,-176,146.16
-142,-178,153.78
-145,-181,169.02
-146,-183,176.64000000000001
-148,-185,199.5
-149,-186,207.12
-99,135,50.910000000000004
182,130,97.9
-134,-121,71.23
123,80,26.78
-152,110,99.805
35,-164,45.195
140,127,57.895
-6,184,68.69
-80,156,63.61
-126,-126,66.15
-98,142,58.53
117.56,-14.78,17.000999999999998
118.47,12.67,17.000999999999998
113.8,38.49,17.000999999999998
91.51,78.31,17.000999999999998
72.91,96.76,17.000999999999998
45.1,111.88,17.000999999999998
25.97,117.24,17.000999999999998
-14.01,118.57,17.000999999999998
-43.09,111.06,17.000999999999998
-80.06,86.43,17.000999999999998
-111.84,31.5,17.000999999999998
-117.79,2.99,17.000999999999998
-109.75,-40.89,17.000999999999998
-98.66,-62.07,17.000999999999998
-81.88,-81.29,17.000999999999998
-57.46,-99.93,17.000999999999998
-38.41,-108.59,17.000999999999998
-17.51,-113.47,17.000999999999998
18.52,-116.72,17.000999999999998
60.81,-100.4,17.000999999999998
89.69,-76.27,17.000999999999998
105.15,-56.88,17.000999999999998
115.62,-29.38,17.000999999999998
117.81,-21.63,17.000999999999998
147.39,-0.1,26.78
140.72,43.4,26.78
120.56,84.85,26.78
100.54,107.2,26.78
68.87,128.69,26.78
16.76,142.53,26.78
-36.28,138.55,26.78
-75.01,119.6,26.78
