epoch,mse_cm2,mae_cm,rmse_cm,max_abs_error_cm,mape_percent
1.0,1337.2086181640625,32.33671569824219,36.56786346435547,87.15985107421875,69.66826629638672
2.0,300.7450256347656,14.374771118164062,17.34200096130371,56.78870391845703,31.907644271850586
3.0,132.30079650878906,9.557169914245605,11.502208709716797,30.989532470703125,13.616572380065918
4.0,73.1917495727539,6.430541515350342,8.555217742919922,39.790096282958984,9.816228866577148
5.0,84.06739044189453,7.153499603271484,9.168827056884766,37.41844177246094,10.12022876739502
6.0,49.61175537109375,5.381723403930664,7.0435614585876465,38.935523986816406,8.525720596313477
7.0,49.30503463745117,5.220946788787842,7.021754264831543,40.3331184387207,8.392332077026367
8.0,52.106624603271484,5.3022613525390625,7.218492031097412,40.59993362426758,8.346821784973145
9.0,41.41385269165039,4.66179084777832,6.435359477996826,40.28122329711914,7.857706546783447
10.0,48.0281867980957,5.162271976470947,6.930237293243408,41.0582160949707,8.254823684692383
11.0,42.31691360473633,4.62440824508667,6.505145072937012,41.84245300292969,8.406118392944336
12.0,57.389892578125,5.729262828826904,7.575611591339111,39.961612701416016,8.495610237121582
13.0,34.351505279541016,4.056693077087402,5.861015796661377,40.11695861816406,7.283769607543945
14.0,47.631195068359375,5.162350177764893,6.901535511016846,40.036624908447266,7.968883991241455
15.0,36.78863525390625,4.344296932220459,6.06536340713501,40.06494903564453,7.223907947540283
16.0,36.7032585144043,4.281118392944336,6.058321475982666,40.32441329956055,7.1143693923950195
17.0,33.31479263305664,3.886397123336792,5.771896839141846,39.2638053894043,6.788819313049316
18.0,70.11288452148438,6.853055953979492,8.373343467712402,37.93342971801758,9.22236442565918
19.0,32.267879486083984,3.9982662200927734,5.680482387542725,39.21506118774414,6.978943347930908
20.0,44.23426818847656,4.704672336578369,6.650884628295898,38.94260025024414,7.048706531524658
21.0,37.44070816040039,4.117063045501709,6.1188812255859375,40.37619400024414,6.588730335235596
22.0,28.37467384338379,3.591181755065918,5.326788425445557,38.9249267578125,6.357222080230713
23.0,35.9711799621582,4.508347034454346,5.997597694396973,37.21004104614258,7.674140453338623
24.0,28.50957679748535,3.451990842819214,5.339436054229736,40.04380416870117,6.009596824645996
25.0,30.37734031677246,3.896219491958618,5.511564254760742,38.44401168823242,6.797518730163574
26.0,28.223709106445312,3.53584885597229,5.312599182128906,39.38202667236328,6.2298197746276855
27.0,31.33689308166504,3.749267578125,5.597936630249023,40.309505462646484,6.148874759674072
28.0,26.86329460144043,3.396245002746582,5.182981014251709,40.332176208496094,5.836416244506836
29.0,38.10577392578125,4.169029235839844,6.172987461090088,41.64401626586914,6.2869110107421875
30.0,56.844696044921875,5.271275043487549,7.539542198181152,40.8800048828125,7.166083812713623
31.0,29.912765502929688,3.521127700805664,5.469256401062012,40.981163024902344,5.702099323272705
32.0,50.92757034301758,4.933737277984619,7.136355400085449,39.215335845947266,6.804582595825195
33.0,34.656517028808594,3.9377193450927734,5.886978626251221,39.00663757324219,6.110108852386475
34.0,29.952951431274414,3.475635528564453,5.472929000854492,40.736053466796875,5.731712341308594
35.0,34.27481460571289,3.8267593383789062,5.8544697761535645,41.48426818847656,6.814175128936768
36.0,25.571441650390625,3.2142019271850586,5.056821346282959,39.707183837890625,5.2569475173950195
37.0,31.57916259765625,3.8219597339630127,5.619534015655518,39.831878662109375,5.698828220367432
38.0,32.76078414916992,3.8057162761688232,5.723703861236572,40.81954574584961,6.743946552276611
39.0,28.026586532592773,3.3358592987060547,5.2940144538879395,40.33266067504883,4.93124532699585
40.0,35.69454574584961,4.066458702087402,5.974491119384766,38.186832427978516,5.712200164794922
41.0,24.599472045898438,2.9495162963867188,4.959785461425781,40.9586181640625,4.906081199645996
42.0,36.1160888671875,3.8865807056427,6.009666442871094,40.027809143066406,5.199039459228516
43.0,24.669015884399414,3.2534360885620117,4.966791152954102,38.43281936645508,5.049544811248779
44.0,28.5762882232666,3.5113303661346436,5.34567928314209,38.474151611328125,5.121665954589844
45.0,29.20598602294922,3.369072675704956,5.404256343841553,40.82060623168945,5.169554233551025
46.0,68.1913070678711,6.4920477867126465,8.257802963256836,36.36498260498047,7.668031215667725
47.0,31.270456314086914,3.75661563873291,5.591999530792236,39.059078216552734,5.346719741821289
48.0,32.81402587890625,3.836670160293579,5.728353023529053,40.3090705871582,5.1501970291137695
49.0,26.345972061157227,3.1693522930145264,5.1328325271606445,40.0762825012207,4.817032814025879
50.0,30.932899475097656,3.7161521911621094,5.561735153198242,37.97810363769531,5.050973415374756
51.0,25.96498680114746,3.385587692260742,5.095584869384766,38.12226104736328,4.937875270843506
52.0,25.899518966674805,3.1830856800079346,5.0891571044921875,39.83435821533203,5.07854700088501
53.0,22.3210391998291,2.8497610092163086,4.724514484405518,38.82438659667969,4.525485515594482
54.0,29.176137924194336,3.665060043334961,5.401494026184082,38.663055419921875,4.847421169281006
55.0,26.419815063476562,3.557356595993042,5.140020847320557,37.32577896118164,5.077982425689697
56.0,27.395187377929688,3.4821407794952393,5.234041213989258,38.54059982299805,4.807568550109863
57.0,23.899126052856445,3.1377336978912354,4.888673305511475,37.970909118652344,4.436514377593994
58.0,26.285316467285156,3.202765703201294,5.126920700073242,38.78047180175781,4.235952854156494
59.0,25.255775451660156,3.1725940704345703,5.025512218475342,38.02007293701172,4.814623832702637
60.0,30.015165328979492,3.9243946075439453,5.478609561920166,36.37698745727539,8.426020622253418
61.0,24.9666805267334,3.2882659435272217,4.99666690826416,36.748878479003906,4.878390789031982
62.0,22.609113693237305,2.885599136352539,4.754904270172119,38.74253463745117,4.124579429626465
63.0,27.317171096801758,3.2053568363189697,5.226583003997803,39.1174430847168,4.333522796630859
64.0,27.362503051757812,3.230579137802124,5.230917930603027,39.050045013427734,4.513567924499512
65.0,56.9466438293457,5.933717250823975,7.546299934387207,36.11465835571289,7.941802501678467
66.0,29.935874938964844,3.7633635997772217,5.471368789672852,36.47196960449219,5.977955341339111
67.0,34.4227409362793,3.855539083480835,5.867089748382568,39.422733306884766,6.310550212860107
68.0,23.826662063598633,2.938154935836792,4.881256103515625,39.33060836791992,4.46031379699707
69.0,24.89026641845703,3.109724760055542,4.989014625549316,37.886112213134766,4.167513370513916
70.0,25.141233444213867,3.1154725551605225,5.014103412628174,37.47119903564453,4.236307144165039
71.0,22.998580932617188,3.0004749298095703,4.79568338394165,37.58802795410156,4.07744836807251
72.0,26.928682327270508,3.133784532546997,5.1892852783203125,38.66229248046875,4.68855619430542
73.0,26.799041748046875,3.430518388748169,5.176779270172119,38.64604568481445,4.513250827789307
74.0,24.916229248046875,3.1105949878692627,4.9916157722473145,37.81007766723633,4.0478196144104
75.0,28.8460636138916,3.3716084957122803,5.370852947235107,39.162025451660156,4.779825687408447
76.0,24.900854110717773,3.112823486328125,4.990075588226318,38.499786376953125,4.56682014465332
77.0,23.044944763183594,2.8603954315185547,4.800515174865723,37.58356857299805,4.058026313781738
78.0,33.76753234863281,4.022597312927246,5.810983657836914,35.34984588623047,5.138678550720215
79.0,24.398408889770508,2.9893951416015625,4.939474582672119,39.27272415161133,5.421738624572754
80.0,25.99847412109375,3.438833475112915,5.098869800567627,37.18986511230469,5.280349254608154
81.0,22.302696228027344,2.8128936290740967,4.722573280334473,38.13201141357422,3.9241130352020264
82.0,23.762365341186523,3.1540634632110596,4.8746657371521,36.50298309326172,4.877899169921875
83.0,24.758161544799805,3.2859890460968018,4.975757598876953,36.98505401611328,4.815098762512207
84.0,26.07233238220215,3.7020022869110107,5.106107234954834,35.90011215209961,5.954403877258301
85.0,24.69754981994629,3.3399274349212646,4.969663143157959,37.13499069213867,4.8277716636657715
86.0,21.17963409423828,2.805591583251953,4.602133750915527,36.856239318847656,3.864729881286621
87.0,27.727346420288086,3.2496986389160156,5.265676021575928,38.35133361816406,4.346827983856201
88.0,28.363990783691406,3.344784736633301,5.3257856369018555,36.779319763183594,4.193154335021973
89.0,21.5870418548584,2.8648014068603516,4.646185874938965,37.29084014892578,4.336172580718994
90.0,25.991819381713867,3.4756386280059814,5.098217487335205,35.10436248779297,4.649286270141602
91.0,22.633169174194336,3.0814990997314453,4.75743293762207,36.068214416503906,4.17522668838501
92.0,21.808258056640625,2.9714152812957764,4.669931411743164,36.066680908203125,4.089707374572754
93.0,23.818464279174805,3.0728461742401123,4.880416393280029,36.54620361328125,3.966653823852539
94.0,22.106908798217773,3.048114061355591,4.701798439025879,35.658668518066406,4.310598850250244
95.0,25.46958351135254,3.3289692401885986,5.0467400550842285,36.21308517456055,4.292928218841553
96.0,21.666366577148438,2.950117826461792,4.654714584350586,35.89639663696289,4.1194047927856445
97.0,23.892545700073242,2.9604384899139404,4.888000011444092,37.532249450683594,3.769892454147339
98.0,28.43891143798828,3.720255136489868,5.332814693450928,35.355979919433594,5.414372444152832
99.0,21.982439041137695,2.754002332687378,4.688543319702148,36.95475769042969,3.620798110961914
100.0,27.210851669311523,3.2919929027557373,5.216402053833008,35.832603454589844,4.483185768127441
101.0,25.770225524902344,3.179701566696167,5.0764384269714355,37.49391174316406,3.907705545425415
102.0,28.62327003479004,3.8825442790985107,5.350071907043457,35.72770690917969,5.096863746643066
103.0,28.18316650390625,3.3728139400482178,5.30878210067749,37.07114028930664,4.101572036743164
104.0,25.38776969909668,3.0885918140411377,5.038627624511719,35.39000701904297,4.358816146850586
105.0,23.36211395263672,3.046820640563965,4.833436965942383,36.36758041381836,4.6584601402282715
106.0,35.48830795288086,4.1393938064575195,5.9572062492370605,36.653648376464844,4.703652858734131
107.0,31.37617301940918,3.6076221466064453,5.601443767547607,36.74800109863281,4.447287559509277
108.0,20.83565902709961,2.905183792114258,4.564609527587891,36.12083053588867,4.5948004722595215
109.0,32.405941009521484,4.117636203765869,5.69262170791626,34.36534881591797,7.739617824554443
110.0,32.66920471191406,4.0775532722473145,5.7156982421875,35.695556640625,5.811920642852783
111.0,24.183195114135742,3.022446870803833,4.9176411628723145,38.08500289916992,3.741307258605957
112.0,26.087987899780273,3.364436388015747,5.107640266418457,37.32758712768555,4.522276878356934
113.0,24.50999641418457,3.1074349880218506,4.950757026672363,35.79663848876953,3.9716053009033203
114.0,24.1351318359375,2.9993937015533447,4.912752151489258,36.20028305053711,3.9310734272003174
115.0,37.92382049560547,4.502016067504883,6.158231735229492,39.129390716552734,8.278695106506348
116.0,32.787353515625,4.085628032684326,5.726024150848389,35.08391571044922,5.342431545257568
117.0,23.214426040649414,3.4460337162017822,4.8181352615356445,33.735252380371094,5.958247184753418
118.0,22.10597801208496,2.9131393432617188,4.701699256896973,36.25395584106445,4.458455562591553
119.0,22.122657775878906,3.0001163482666016,4.703473091125488,35.976444244384766,4.878725528717041
120.0,20.060720443725586,2.6490418910980225,4.478919506072998,36.75067901611328,3.570847272872925
121.0,32.51200866699219,3.7904069423675537,5.701930046081543,37.60255432128906,5.244783878326416
122.0,25.842763900756836,3.336003541946411,5.083577632904053,36.151397705078125,4.345895290374756
123.0,19.83548927307129,2.7718727588653564,4.453705310821533,35.045562744140625,4.130819797515869
124.0,21.94307518005371,3.2132604122161865,4.6843438148498535,35.30646514892578,5.0476861000061035
125.0,24.748811721801758,3.1505820751190186,4.974817752838135,36.34461212158203,4.389149188995361
126.0,20.314767837524414,2.6603634357452393,4.507190704345703,36.950355529785156,3.6942079067230225
127.0,26.63372230529785,3.5367355346679688,5.160787105560303,35.194427490234375,4.52127742767334
128.0,25.592451095581055,3.1625452041625977,5.058897972106934,37.18526077270508,4.565483093261719
129.0,25.163171768188477,2.997858762741089,5.016290664672852,35.38768768310547,3.794588088989258
130.0,21.71288299560547,3.056216239929199,4.659708499908447,35.063987731933594,5.5215301513671875
131.0,21.20710563659668,2.799943208694458,4.605117321014404,36.4533805847168,4.359863758087158
