epoch,checkpoint,mae_cm,rmse_cm,max_abs_error_cm,mape_percent
50.0,epoch_0050.pt,52.1439208984375,55.53620147705078,90.46414184570312,118.522216796875
100.0,epoch_0100.pt,48.96381759643555,53.17583465576172,88.4385986328125,103.23798370361328
150.0,epoch_0150.pt,46.92455291748047,51.78752136230469,88.12492370605469,95.2906494140625
200.0,epoch_0200.pt,46.66620635986328,52.01887130737305,90.79257202148438,93.23774719238281
250.0,epoch_0250.pt,53.403709411621094,56.82925033569336,90.08912658691406,118.6687240600586
300.0,epoch_0300.pt,48.06901168823242,52.72746658325195,88.69933319091797,100.2899398803711
350.0,epoch_0350.pt,49.390357971191406,53.81512451171875,88.34217834472656,102.41371154785156
400.0,epoch_0400.pt,51.30875778198242,55.3099479675293,87.82725524902344,109.38751983642578
450.0,epoch_0450.pt,48.31058883666992,53.24031448364258,88.13829040527344,97.01844787597656
500.0,epoch_0500.pt,51.715858459472656,55.8177375793457,89.69877624511719,109.21636962890625
550.0,epoch_0550.pt,51.038330078125,55.426265716552734,89.95027160644531,105.6990966796875
600.0,epoch_0600.pt,45.14068603515625,51.22409439086914,87.796630859375,84.98973846435547
650.0,epoch_0650.pt,44.944541931152344,50.89165496826172,86.88484191894531,83.97418975830078
700.0,epoch_0700.pt,47.63202667236328,52.82841491699219,88.26275634765625,93.26493072509766
750.0,epoch_0750.pt,47.393592834472656,52.499446868896484,86.87913513183594,91.86392974853516
800.0,epoch_0800.pt,50.215213775634766,54.82429885864258,88.75570678710938,101.26164245605469
850.0,epoch_0850.pt,46.0684928894043,51.90047073364258,88.71678161621094,87.96859741210938
900.0,epoch_0900.pt,51.71660614013672,56.31245803833008,90.96852111816406,108.38421630859375
950.0,epoch_0950.pt,49.77387237548828,54.52592468261719,89.45748138427734,101.47491455078125
1000.0,epoch_1000.pt,47.066585540771484,52.55064010620117,89.49658203125,92.92138671875
1050.0,epoch_1050.pt,49.33598709106445,54.26000213623047,90.2021484375,100.42135620117188
1100.0,epoch_1100.pt,46.06616973876953,51.58247375488281,88.677978515625,88.70695495605469
1150.0,epoch_1150.pt,48.17156982421875,53.07164001464844,89.48896789550781,97.502197265625
1200.0,epoch_1200.pt,51.53905487060547,55.977806091308594,90.81930541992188,108.17561340332031
1250.0,epoch_1250.pt,47.851646423339844,52.96778106689453,88.1242446899414,93.96949768066406
1300.0,epoch_1300.pt,46.987754821777344,52.52708435058594,88.79908752441406,91.76575469970703
1350.0,epoch_1350.pt,48.77921676635742,53.91517639160156,91.45289611816406,98.14610290527344
1400.0,epoch_1400.pt,48.73185729980469,53.625732421875,89.25498962402344,98.735107421875
1450.0,epoch_1450.pt,48.93060302734375,53.949729919433594,90.29188537597656,99.2115478515625
1500.0,epoch_1500.pt,47.76230239868164,53.04100036621094,89.97023010253906,93.52372741699219
1550.0,epoch_1550.pt,47.25001907348633,52.53611755371094,88.61366271972656,93.10550689697266
1600.0,epoch_1600.pt,47.307369232177734,52.57062911987305,89.54060363769531,93.0566177368164
1650.0,epoch_1650.pt,46.066551208496094,51.70467758178711,88.93894958496094,88.2841567993164
1700.0,epoch_1700.pt,49.12385940551758,54.01201248168945,91.09075927734375,100.46100616455078
1750.0,epoch_1750.pt,45.94351577758789,51.63351058959961,89.57726287841797,87.32846069335938
1800.0,epoch_1800.pt,47.78924560546875,53.16942596435547,90.06324768066406,93.83171844482422
1850.0,epoch_1850.pt,49.320255279541016,54.01300811767578,89.0999755859375,99.6231689453125
1900.0,epoch_1900.pt,47.961456298828125,53.13959503173828,88.9636001586914,94.07925415039062
1950.0,epoch_1950.pt,46.72443389892578,52.27024459838867,89.56403350830078,89.83029174804688
2000.0,epoch_2000.pt,48.03600311279297,53.487911224365234,90.147705078125,93.46395874023438
